Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Total_Price,Order_Month,Order_Day,Order_Weekday
O0048,2026-02-02,C020,P012,2,Debit Card,Cancelled,Priya Menon,Chennai,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,1398,February,2,Monday
O0040,2026-02-03,C008,P010,4,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Electric Kettle,Home & Kitchen,1499,KitchenPro,5996,February,3,Tuesday
O0119,2026-02-03,C015,P019,2,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Cricket Bat,Sports,2499,BatPro,4998,February,3,Tuesday
O0012,2026-02-03,C017,P008,5,Credit Card,Delivered,Dev Patel,Ahmedabad,West,Premium,Sneakers,Clothing,2999,StepUp,14995,February,3,Tuesday
O0098,2026-02-03,C009,P006,1,Credit Card,Delivered,Arjun Nair,Kochi,South,Regular,Hoodie,Clothing,1599,UrbanWear,1599,February,3,Tuesday
O0023,2026-02-04,C015,P013,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Python Programming,Books,749,TechBooks,2247,February,4,Wednesday
O0066,2026-02-05,C004,P001,2,Debit Card,Cancelled,Ananya Singh,Jammu,North,Regular,Wireless Headphones,Electronics,1499,SoundMax,2998,February,5,Thursday
O0058,2026-02-05,C029,P005,5,UPI,Cancelled,Sameer Qureshi,Jammu,North,New,Power Bank,Electronics,1199,VoltPlus,5995,February,5,Thursday
O0020,2026-02-06,C010,P012,3,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Water Bottle,Home & Kitchen,699,HydroLife,2097,February,6,Friday
O0090,2026-02-07,C022,P019,2,Cash on Delivery,Shipped,Alina Shah,Pune,West,New,Cricket Bat,Sports,2499,BatPro,4998,February,7,Saturday
O0096,2026-02-07,C002,P013,1,Net Banking,Shipped,Zoya Khan,Delhi,North,Regular,Python Programming,Books,749,TechBooks,749,February,7,Saturday
O0093,2026-02-08,C012,P016,3,Debit Card,Delivered,Aisha Mir,Delhi,North,Premium,Atomic Habits,Books,599,MindReads,1797,February,8,Sunday
O0075,2026-02-08,C027,P004,4,UPI,Delivered,Harsh Vardhan,Noida,North,Premium,Smart Watch,Electronics,3299,FitTech,13196,February,8,Sunday
O0006,2026-02-09,C003,P018,3,UPI,Delivered,Rohan Mehta,Mumbai,West,Premium,Football,Sports,799,SportZone,2397,February,9,Monday
O0039,2026-02-09,C016,P020,5,Credit Card,Delivered,Hiba Sheikh,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,9995,February,9,Monday
O0007,2026-02-10,C011,P003,3,UPI,Delivered,Vivaan Kapoor,Jaipur,North,New,Wireless Mouse,Electronics,899,TechGear,2697,February,10,Tuesday
O0114,2026-02-12,C019,P011,5,Credit Card,Delivered,Yusuf Dar,Srinagar,North,New,Air Fryer,Home & Kitchen,4999,CookSmart,24995,February,12,Thursday
O0033,2026-02-13,C010,P008,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Sneakers,Clothing,2999,StepUp,14995,February,13,Friday
O0047,2026-02-15,C005,P004,5,Credit Card,Cancelled,Kabir Ali,Lucknow,North,New,Smart Watch,Electronics,3299,FitTech,16495,February,15,Sunday
O0015,2026-02-16,C027,P011,3,Credit Card,Cancelled,Harsh Vardhan,Noida,North,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,14997,February,16,Monday
O0078,2026-02-17,C029,P004,5,Cash on Delivery,Delivered,Sameer Qureshi,Jammu,North,New,Smart Watch,Electronics,3299,FitTech,16495,February,17,Tuesday
O0050,2026-02-18,C020,P001,1,Credit Card,Shipped,Priya Menon,Chennai,South,Premium,Wireless Headphones,Electronics,1499,SoundMax,1499,February,18,Wednesday
O0116,2026-02-19,C025,P010,1,Net Banking,Delivered,Reyansh Jain,Kolkata,East,New,Electric Kettle,Home & Kitchen,1499,KitchenPro,1499,February,19,Thursday
O0001,2026-02-19,C027,P019,2,Credit Card,Delivered,Harsh Vardhan,Noida,North,Premium,Cricket Bat,Sports,2499,BatPro,4998,February,19,Thursday
O0024,2026-02-20,C030,P001,4,Net Banking,Delivered,Riya Kapoor,Bengaluru,South,Premium,Wireless Headphones,Electronics,1499,SoundMax,5996,February,20,Friday
O0014,2026-02-20,C007,P010,4,UPI,Shipped,Aditya Verma,Pune,West,Regular,Electric Kettle,Home & Kitchen,1499,KitchenPro,5996,February,20,Friday
O0117,2026-02-21,C019,P015,3,Cash on Delivery,Shipped,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,2997,February,21,Saturday
O0092,2026-02-21,C027,P006,2,Debit Card,Delivered,Harsh Vardhan,Noida,North,Premium,Hoodie,Clothing,1599,UrbanWear,3198,February,21,Saturday
O0068,2026-02-22,C018,P010,2,Debit Card,Delivered,Manya Rao,Bengaluru,South,Regular,Electric Kettle,Home & Kitchen,1499,KitchenPro,2998,February,22,Sunday
O0067,2026-02-22,C005,P017,1,Debit Card,Delivered,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,899,February,22,Sunday
O0055,2026-02-23,C008,P009,4,Net Banking,Cancelled,Sara Ahmed,Hyderabad,South,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,13996,February,23,Monday
O0101,2026-02-24,C009,P012,1,UPI,Delivered,Arjun Nair,Kochi,South,Regular,Water Bottle,Home & Kitchen,699,HydroLife,699,February,24,Tuesday
O0097,2026-02-24,C004,P006,2,Cash on Delivery,Delivered,Ananya Singh,Jammu,North,Regular,Hoodie,Clothing,1599,UrbanWear,3198,February,24,Tuesday
O0083,2026-02-24,C009,P013,1,Debit Card,Shipped,Arjun Nair,Kochi,South,Regular,Python Programming,Books,749,TechBooks,749,February,24,Tuesday
O0063,2026-02-25,C030,P020,3,Credit Card,Shipped,Riya Kapoor,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,5997,February,25,Wednesday
O0095,2026-02-25,C015,P011,2,Cash on Delivery,Delivered,Karan Joshi,Chandigarh,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,9998,February,25,Wednesday
O0016,2026-02-25,C011,P008,3,UPI,Delivered,Vivaan Kapoor,Jaipur,North,New,Sneakers,Clothing,2999,StepUp,8997,February,25,Wednesday
O0003,2026-02-26,C015,P004,1,Cash on Delivery,Delivered,Karan Joshi,Chandigarh,North,Regular,Smart Watch,Electronics,3299,FitTech,3299,February,26,Thursday
O0044,2026-02-27,C016,P019,4,Credit Card,Delivered,Hiba Sheikh,Srinagar,North,Premium,Cricket Bat,Sports,2499,BatPro,9996,February,27,Friday
O0017,2026-02-27,C023,P011,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,19996,February,27,Friday
O0049,2026-02-27,C010,P006,3,Cash on Delivery,Delivered,Mehak Bhat,Srinagar,North,Premium,Hoodie,Clothing,1599,UrbanWear,4797,February,27,Friday
O0035,2026-03-01,C003,P007,2,Net Banking,Cancelled,Rohan Mehta,Mumbai,West,Premium,Jacket,Clothing,2499,NorthStyle,4998,March,1,Sunday
O0085,2026-03-01,C028,P011,2,Cash on Delivery,Delivered,Inaya Khan,Mumbai,West,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,9998,March,1,Sunday
O0073,2026-03-02,C029,P004,3,Debit Card,Cancelled,Sameer Qureshi,Jammu,North,New,Smart Watch,Electronics,3299,FitTech,9897,March,2,Monday
O0057,2026-03-02,C027,P008,2,Cash on Delivery,Delivered,Harsh Vardhan,Noida,North,Premium,Sneakers,Clothing,2999,StepUp,5998,March,2,Monday
O0061,2026-03-02,C020,P002,2,Credit Card,Delivered,Priya Menon,Chennai,South,Premium,Mechanical Keyboard,Electronics,2499,KeyPro,4998,March,2,Monday
O0103,2026-03-03,C022,P005,1,Debit Card,Delivered,Alina Shah,Pune,West,New,Power Bank,Electronics,1199,VoltPlus,1199,March,3,Tuesday
O0004,2026-03-04,C024,P015,3,Net Banking,Delivered,Maryam Khan,Hyderabad,South,Regular,Machine Learning Basics,Books,999,AIPress,2997,March,4,Wednesday
O0010,2026-03-05,C026,P005,2,Debit Card,Shipped,Fatima Noor,Srinagar,North,Regular,Power Bank,Electronics,1199,VoltPlus,2398,March,5,Thursday
O0030,2026-03-05,C017,P010,3,Net Banking,Shipped,Dev Patel,Ahmedabad,West,Premium,Electric Kettle,Home & Kitchen,1499,KitchenPro,4497,March,5,Thursday
O0019,2026-03-05,C019,P017,4,Net Banking,Delivered,Yusuf Dar,Srinagar,North,New,Yoga Mat,Sports,899,FitLife,3596,March,5,Thursday
O0059,2026-03-09,C017,P020,2,Net Banking,Delivered,Dev Patel,Ahmedabad,West,Premium,Dumbbell Set,Sports,1999,StrongFit,3998,March,9,Monday
O0118,2026-03-09,C025,P016,4,Credit Card,Delivered,Reyansh Jain,Kolkata,East,New,Atomic Habits,Books,599,MindReads,2396,March,9,Monday
O0052,2026-03-10,C024,P008,5,Debit Card,Delivered,Maryam Khan,Hyderabad,South,Regular,Sneakers,Clothing,2999,StepUp,14995,March,10,Tuesday
O0009,2026-03-13,C024,P009,2,UPI,Cancelled,Maryam Khan,Hyderabad,South,Regular,Coffee Maker,Home & Kitchen,3499,HomeBrew,6998,March,13,Friday
O0036,2026-03-14,C026,P016,5,Debit Card,Shipped,Fatima Noor,Srinagar,North,Regular,Atomic Habits,Books,599,MindReads,2995,March,14,Saturday
O0065,2026-03-14,C024,P020,2,Cash on Delivery,Delivered,Maryam Khan,Hyderabad,South,Regular,Dumbbell Set,Sports,1999,StrongFit,3998,March,14,Saturday
O0089,2026-03-14,C015,P008,4,Credit Card,Shipped,Karan Joshi,Chandigarh,North,Regular,Sneakers,Clothing,2999,StepUp,11996,March,14,Saturday
O0111,2026-03-14,C001,P001,4,Debit Card,Delivered,Aarav Sharma,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,5996,March,14,Saturday
O0060,2026-03-15,C007,P006,1,Debit Card,Cancelled,Aditya Verma,Pune,West,Regular,Hoodie,Clothing,1599,UrbanWear,1599,March,15,Sunday
O0109,2026-03-17,C023,P019,5,Debit Card,Cancelled,Nikhil Sood,Chandigarh,North,Premium,Cricket Bat,Sports,2499,BatPro,12495,March,17,Tuesday
O0070,2026-03-18,C011,P004,2,Net Banking,Delivered,Vivaan Kapoor,Jaipur,North,New,Smart Watch,Electronics,3299,FitTech,6598,March,18,Wednesday
O0100,2026-03-19,C003,P008,4,Credit Card,Delivered,Rohan Mehta,Mumbai,West,Premium,Sneakers,Clothing,2999,StepUp,11996,March,19,Thursday
O0053,2026-03-19,C021,P004,3,Credit Card,Cancelled,Aman Kumar,Delhi,North,Regular,Smart Watch,Electronics,3299,FitTech,9897,March,19,Thursday
O0074,2026-03-19,C014,P013,4,Credit Card,Delivered,Sana Malik,Mumbai,West,New,Python Programming,Books,749,TechBooks,2996,March,19,Thursday
O0072,2026-03-21,C029,P009,4,Net Banking,Cancelled,Sameer Qureshi,Jammu,North,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,13996,March,21,Saturday
O0013,2026-03-22,C005,P009,3,Cash on Delivery,Delivered,Kabir Ali,Lucknow,North,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,10497,March,22,Sunday
O0113,2026-03-22,C008,P014,1,UPI,Delivered,Sara Ahmed,Hyderabad,South,Premium,Data Science Handbook,Books,899,DataPress,899,March,22,Sunday
O0031,2026-03-24,C013,P014,2,Debit Card,Delivered,Rahul Das,Kolkata,East,Regular,Data Science Handbook,Books,899,DataPress,1798,March,24,Tuesday
O0062,2026-03-25,C009,P014,2,UPI,Delivered,Arjun Nair,Kochi,South,Regular,Data Science Handbook,Books,899,DataPress,1798,March,25,Wednesday
O0077,2026-03-27,C006,P020,3,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,5997,March,27,Friday
O0008,2026-03-27,C020,P005,4,Debit Card,Delivered,Priya Menon,Chennai,South,Premium,Power Bank,Electronics,1199,VoltPlus,4796,March,27,Friday
O0087,2026-03-28,C006,P004,5,Cash on Delivery,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Smart Watch,Electronics,3299,FitTech,16495,March,28,Saturday
O0005,2026-03-29,C025,P009,5,Credit Card,Delivered,Reyansh Jain,Kolkata,East,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,17495,March,29,Sunday
O0080,2026-03-29,C026,P019,5,Debit Card,Delivered,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,12495,March,29,Sunday
O0037,2026-03-30,C028,P005,1,Credit Card,Delivered,Inaya Khan,Mumbai,West,Regular,Power Bank,Electronics,1199,VoltPlus,1199,March,30,Monday
